n, rollTime (s), v1(m/s), v2(m/s), v1/t, v2/t, v12Ratio
1,1.482274,0.729,0.510,0.492,0.344,1.430
2,1.161771,0.469,0.399,0.404,0.343,1.176
3,1.152789,0.462,0.393,0.400,0.341,1.174
4,1.560640,0.829,0.543,0.531,0.348,1.527
5,1.174572,0.468,0.398,0.399,0.339,1.177
6,0.930429,0.379,0.327,0.408,0.351,1.162
7,1.707502,0.921,0.593,0.539,0.347,1.554
8,1.437560,1.248,0.586,0.868,0.407,2.131
9,1.159696,0.471,0.401,0.406,0.346,1.174
10,1.318660,1.935,0.570,1.467,0.432,3.396
11,1.407298,1.601,0.581,1.137,0.412,2.757
12,1.459730,1.498,0.585,1.026,0.401,2.563
13,1.511899,1.545,0.590,1.022,0.391,2.617
14,1.496093,0.741,0.517,0.495,0.345,1.433
15,1.171684,0.473,0.403,0.404,0.344,1.173
16,0.442742,0.193,0.172,0.435,0.389,1.119
17,0.994471,0.402,0.344,0.405,0.346,1.170
18,1.626621,0.832,0.559,0.512,0.344,1.489
19,1.616863,0.963,0.590,0.595,0.365,1.631
20,0.836565,0.334,0.290,0.400,0.346,1.155
21,1.176291,0.487,0.414,0.414,0.352,1.176
22,0.846545,0.333,0.290,0.394,0.343,1.149
23,0.871948,0.347,0.301,0.398,0.345,1.156
24,0.674372,0.266,0.235,0.395,0.349,1.132
25,0.562832,0.227,0.202,0.404,0.360,1.123
26,1.489474,1.094,0.587,0.734,0.394,1.864
27,0.785417,0.306,0.268,0.390,0.341,1.144
28,0.950727,0.385,0.331,0.405,0.349,1.161
29,1.319860,0.579,0.458,0.439,0.347,1.264
30,0.870776,0.347,0.300,0.399,0.345,1.155
31,1.196706,0.502,0.421,0.419,0.352,1.192
32,1.708442,0.854,0.580,0.500,0.340,1.471
33,1.276621,0.549,0.444,0.430,0.348,1.235
34,1.208087,0.497,0.418,0.411,0.346,1.187
35,1.429060,0.650,0.492,0.455,0.345,1.320
36,0.897726,0.370,0.319,0.413,0.355,1.162
37,1.518142,0.758,0.532,0.499,0.351,1.424
38,0.800125,0.315,0.275,0.394,0.343,1.147
39,1.659551,0.889,0.591,0.536,0.356,1.505
40,0.877286,0.348,0.300,0.397,0.341,1.163
41,0.989123,0.393,0.338,0.398,0.341,1.165
42,1.520011,0.749,0.528,0.492,0.347,1.418
43,0.811309,0.316,0.274,0.389,0.338,1.152
44,1.574796,0.951,0.590,0.604,0.375,1.612
45,1.200962,0.502,0.420,0.418,0.350,1.193
46,1.088666,2.221,0.547,2.040,0.503,4.060
47,1.048990,0.419,0.357,0.399,0.341,1.171
48,0.974942,2.281,0.543,2.340,0.557,4.200
49,1.404233,0.624,0.482,0.444,0.343,1.293
50,1.126652,0.460,0.395,0.409,0.350,1.166
51,1.277822,0.535,0.446,0.419,0.349,1.201
52,1.154243,1.977,0.546,1.713,0.473,3.620
53,1.194250,0.490,0.417,0.411,0.350,1.175
54,1.155524,0.462,0.396,0.400,0.343,1.168
55,0.447836,0.189,0.169,0.422,0.377,1.119
56,1.406788,0.614,0.487,0.437,0.346,1.262
57,1.428066,0.640,0.497,0.448,0.348,1.289
58,1.102433,0.434,0.370,0.393,0.336,1.171
59,1.491674,0.710,0.520,0.476,0.349,1.365
60,1.467866,0.669,0.513,0.456,0.349,1.304
61,0.783534,0.307,0.269,0.392,0.343,1.142
62,1.763486,0.861,0.590,0.488,0.334,1.460
63,0.828093,0.320,0.277,0.386,0.335,1.154
64,0.858419,0.339,0.295,0.395,0.344,1.150
65,1.546096,0.794,0.556,0.514,0.360,1.429
66,0.823450,0.332,0.288,0.403,0.350,1.152
67,1.715478,0.882,0.598,0.514,0.349,1.475
68,1.357308,0.603,0.478,0.445,0.352,1.263
69,1.380230,0.620,0.488,0.450,0.354,1.270
70,1.331115,1.883,0.561,1.415,0.422,3.354
71,1.465271,1.419,0.581,0.969,0.396,2.443
72,1.442129,1.259,0.584,0.873,0.405,2.156
73,1.408413,1.240,0.583,0.880,0.414,2.125
74,1.325511,0.567,0.465,0.428,0.351,1.218
75,1.447554,1.134,0.589,0.783,0.407,1.927
76,1.475763,0.714,0.523,0.484,0.355,1.363
77,1.238107,1.917,0.556,1.548,0.449,3.448
78,1.330820,0.580,0.465,0.436,0.350,1.247
79,0.926572,0.381,0.328,0.411,0.354,1.159
80,1.682405,0.846,0.584,0.503,0.347,1.448
81,1.043317,0.424,0.365,0.407,0.350,1.163
82,1.202200,0.497,0.421,0.413,0.350,1.180
83,1.508202,1.026,0.594,0.680,0.394,1.727
84,1.472091,1.033,0.591,0.702,0.401,1.748
85,1.461629,1.062,0.593,0.727,0.406,1.792
86,1.427743,0.771,0.510,0.540,0.357,1.512
87,1.448478,1.059,0.587,0.731,0.405,1.803
88,1.196420,0.512,0.431,0.428,0.360,1.189
89,1.404046,1.227,0.587,0.874,0.418,2.090
90,1.128261,0.467,0.402,0.414,0.356,1.163
91,1.470422,1.025,0.596,0.697,0.406,1.719
92,1.334881,1.601,0.577,1.200,0.432,2.777

