n,msec,pos
# Quadrature Readout v0.1 26-March-2021 J.Beale
0,6650,-1
1,6653,-2
2,6658,-3
3,6663,-4
4,6668,-5
5,6673,-6
6,6678,-7
7,6684,-8
8,6688,-9
9,6694,-10
10,6699,-11
11,6704,-12
12,6709,-13
13,6714,-14
14,6719,-15
15,6724,-16
16,6729,-17
17,6734,-18
18,6739,-19
19,6744,-20
20,6749,-21
21,6754,-22
22,6759,-23
23,6764,-24
24,6768,-25
25,6774,-26
26,6779,-27
27,6784,-28
28,6788,-29
29,6793,-30
30,6798,-31
31,6804,-32
32,6808,-33
33,6813,-34
34,6818,-35
35,6823,-36
36,6828,-37
37,6833,-38
38,6838,-39
39,6843,-40
40,6848,-41
41,6853,-42
42,6858,-43
43,6864,-44
44,6868,-45
45,6873,-46
46,6879,-47
47,6884,-48
48,6888,-49
49,6894,-50
50,6899,-51
51,6904,-52
52,6909,-53
53,6914,-54
54,6919,-55
55,6925,-56
56,6930,-57
57,6935,-58
58,6940,-59
59,6946,-60
60,6951,-61
61,6956,-62
62,6961,-63
63,6967,-64
64,6972,-65
65,6977,-66
66,6983,-67
67,6988,-68
68,6993,-69
69,6999,-70
70,7005,-71
71,7010,-72
72,7015,-73
73,7021,-74
74,7027,-75
75,7033,-76
76,7038,-77
77,7044,-78
78,7050,-79
79,7056,-80
80,7061,-81
81,7067,-82
82,7073,-83
83,7079,-84
84,7085,-85
85,7091,-86
86,7098,-87
87,7104,-88
88,7110,-89
89,7116,-90
90,7123,-91
91,7129,-92
92,7135,-93
93,7142,-94
94,7149,-95
95,7156,-96
96,7162,-97
97,7169,-98
98,7177,-99
99,7184,-100
100,7191,-101
101,7198,-102
102,7206,-103
103,7214,-104
104,7221,-105
105,7229,-106
106,7237,-107
107,7246,-108
108,7253,-109
109,7262,-110
110,7271,-111
111,7281,-112
112,7289,-113
113,7299,-114
114,7309,-115
115,7320,-116
116,7330,-117
117,7342,-118
118,7354,-119
119,7367,-120
120,7379,-121
121,7394,-122
122,7409,-123
123,7427,-124
124,7445,-125
125,7470,-126
126,7503,-127
127,7626,-126
128,7658,-125
129,7682,-124
130,7700,-123
131,7718,-122
132,7733,-121
133,7748,-120
134,7760,-119
135,7773,-118
136,7785,-117
137,7797,-116
138,7807,-115
139,7817,-114
140,7827,-113
141,7837,-112
142,7846,-111
143,7855,-110
144,7864,-109
145,7873,-108
146,7881,-107
147,7889,-106
148,7897,-105
149,7906,-104
150,7913,-103
151,7921,-102
152,7928,-101
153,7936,-100
154,7942,-99
155,7950,-98
156,7957,-97
157,7964,-96
158,7970,-95
159,7977,-94
160,7984,-93
161,7991,-92
162,7997,-91
163,8004,-90
164,8010,-89
165,8016,-88
166,8022,-87
167,8029,-86
168,8035,-85
169,8041,-84
170,8047,-83
171,8053,-82
172,8059,-81
173,8065,-80
174,8070,-79
175,8077,-78
176,8082,-77
177,8088,-76
178,8093,-75
179,8099,-74
180,8105,-73
181,8111,-72
182,8116,-71
183,8122,-70
184,8127,-69
185,8133,-68
186,8138,-67
187,8143,-66
188,8149,-65
189,8154,-64
190,8159,-63
191,8165,-62
192,8170,-61
193,8176,-60
194,8180,-59
195,8186,-58
196,8191,-57
197,8197,-56
198,8201,-55
199,8207,-54
200,8212,-53
201,8217,-52
202,8222,-51
203,8227,-50
204,8232,-49
205,8238,-48
206,8242,-47
207,8248,-46
208,8253,-45
209,8258,-44
210,8263,-43
211,8268,-42
212,8273,-41
213,8278,-40
214,8283,-39
215,8288,-38
216,8293,-37
217,8298,-36
218,8303,-35
219,8308,-34
220,8313,-33
221,8318,-32
222,8323,-31
223,8328,-30
224,8333,-29
225,8338,-28
226,8342,-27
227,8348,-26
228,8353,-25
229,8358,-24
230,8362,-23
231,8367,-22
232,8372,-21
233,8378,-20
234,8382,-19
235,8387,-18
236,8392,-17
237,8398,-16
238,8402,-15
239,8407,-14
240,8412,-13
241,8418,-12
242,8422,-11
243,8428,-10
244,8433,-9
245,8438,-8
246,8443,-7
247,8448,-6
248,8453,-5
249,8458,-4
250,8463,-3
251,8468,-2
252,8473,-1
253,8479,0
254,8483,1
255,8489,2
256,8494,3
257,8499,4
258,8504,5
259,8510,6
260,8515,7
261,8521,8
262,8525,9
263,8531,10
264,8536,11
265,8542,12
266,8547,13
267,8553,14
268,8558,15
269,8564,16
270,8569,17
271,8575,18
272,8580,19
273,8586,20
274,8591,21
275,8597,22
276,8603,23
277,8609,24
278,8614,25
279,8620,26
280,8626,27
281,8632,28
282,8638,29
283,8644,30
284,8650,31
285,8656,32
286,8662,33
287,8669,34
288,8675,35
289,8682,36
290,8688,37
291,8694,38
292,8701,39
293,8708,40
294,8714,41
295,8721,42
296,8728,43
297,8735,44
298,8742,45
299,8749,46
300,8757,47
301,8764,48
302,8771,49
303,8779,50
304,8787,51
305,8796,52
306,8803,53
307,8812,54
308,8821,55
309,8829,56
310,8838,57
311,8847,58
312,8857,59
313,8867,60
314,8877,61
315,8888,62
316,8899,63
317,8911,64
318,8923,65
319,8936,66
320,8950,67
321,8966,68
322,8981,69
323,9000,70
324,9023,71
325,9052,72
326,9103,73
327,9149,72
328,9196,71
329,9225,70
330,9248,69
331,9267,68
332,9282,67
333,9298,66
334,9312,65
335,9325,64
336,9336,63
337,9348,62
338,9360,61
339,9371,60
340,9380,59
341,9390,58
342,9400,57
343,9409,56
344,9418,55
345,9427,54
346,9435,53
347,9444,52
348,9452,51
349,9460,50
350,9468,49
351,9476,48
352,9483,47
353,9490,46
354,9498,45
355,9505,44
356,9512,43
357,9519,42
358,9526,41
359,9533,40
360,9539,39
361,9546,38
362,9553,37
363,9559,36
364,9565,35
365,9572,34
366,9578,33
367,9585,32
368,9591,31
369,9597,30
370,9603,29
371,9609,28
372,9615,27
373,9621,26
374,9627,25
375,9633,24
376,9638,23
377,9644,22
378,9650,21
379,9656,20
380,9661,19
381,9667,18
382,9672,17
383,9678,16
384,9683,15
385,9689,14
386,9694,13
387,9700,12
388,9705,11
389,9711,10
390,9716,9
391,9722,8
392,9726,7
393,9732,6
394,9737,5
395,9743,4
396,9748,3
397,9753,2
398,9758,1
399,9763,0
400,9768,-1
401,9774,-2
402,9779,-3
403,9784,-4
404,9789,-5
405,9794,-6
406,9799,-7
407,9804,-8
408,9809,-9
409,9814,-10
410,9819,-11
411,9825,-12
412,9829,-13
413,9834,-14
414,9839,-15
415,9845,-16
416,9849,-17
417,9855,-18
418,9860,-19
419,9865,-20
420,9869,-21
421,9874,-22
422,9879,-23
423,9885,-24
424,9889,-25
425,9894,-26
426,9899,-27
427,9904,-28
428,9909,-29
429,9914,-30
430,9919,-31
431,9924,-32
432,9929,-33
433,9934,-34
434,9939,-35
435,9944,-36
436,9949,-37
437,9954,-38
438,9959,-39
439,9964,-40
440,9969,-41
441,9974,-42
442,9979,-43
443,9984,-44
444,9989,-45
445,9994,-46
446,9999,-47
447,10004,-48
448,10009,-49
449,10014,-50
450,10020,-51
451,10025,-52
452,10030,-53
453,10035,-54
454,10040,-55
455,10045,-56
456,10050,-57
457,10056,-58
458,10061,-59
459,10066,-60
460,10071,-61
461,10077,-62
462,10082,-63
463,10087,-64
464,10092,-65
465,10098,-66
466,10103,-67
467,10109,-68
468,10114,-69
469,10120,-70
470,10125,-71
471,10131,-72
472,10136,-73
473,10142,-74
474,10148,-75
475,10153,-76
476,10159,-77
477,10164,-78
478,10170,-79
479,10176,-80
480,10182,-81
481,10188,-82
482,10194,-83
483,10200,-84
484,10205,-85
485,10212,-86
486,10218,-87
487,10224,-88
488,10230,-89
489,10237,-90
490,10243,-91
491,10250,-92
492,10256,-93
493,10263,-94
494,10269,-95
495,10276,-96
496,10283,-97
497,10290,-98
498,10297,-99
499,10304,-100
500,10311,-101
501,10319,-102
502,10326,-103
503,10334,-104
504,10341,-105
505,10349,-106
506,10357,-107
507,10366,-108
508,10374,-109
509,10383,-110
510,10391,-111
511,10401,-112
512,10409,-113
513,10419,-114
514,10430,-115
515,10440,-116
516,10450,-117
517,10462,-118
518,10474,-119
519,10486,-120
520,10499,-121
521,10513,-122
522,10529,-123
523,10546,-124
524,10564,-125
525,10588,-126
526,10620,-127
527,10750,-126
528,10780,-125
529,10804,-124
530,10822,-123
531,10840,-122
532,10855,-121
533,10870,-120
534,10882,-119
535,10895,-118
536,10906,-117
537,10918,-116
538,10928,-115
539,10939,-114
540,10949,-113
541,10958,-112
542,10967,-111
543,10976,-110
544,10985,-109
545,10994,-108
546,11002,-107
547,11010,-106
548,11019,-105
549,11027,-104
550,11034,-103
551,11042,-102
552,11049,-101
553,11057,-100
554,11063,-99
555,11071,-98
556,11078,-97
557,11085,-96
558,11091,-95
559,11098,-94
560,11105,-93
561,11112,-92
562,11118,-91
563,11125,-90
564,11131,-89
565,11137,-88
566,11143,-87
567,11150,-86
568,11156,-85
569,11162,-84
570,11168,-83
571,11174,-82
572,11180,-81
573,11186,-80
574,11191,-79
575,11197,-78
576,11203,-77
577,11209,-76
578,11214,-75
579,11220,-74
580,11226,-73
581,11232,-72
582,11237,-71
583,11242,-70
584,11248,-69
585,11254,-68
586,11259,-67
587,11264,-66
588,11270,-65
589,11275,-64
590,11280,-63
591,11286,-62
592,11291,-61
593,11296,-60
594,11301,-59
595,11307,-58
596,11312,-57
597,11317,-56
598,11322,-55
599,11327,-54
600,11333,-53
601,11338,-52
602,11343,-51
603,11348,-50
604,11353,-49
605,11358,-48
606,11363,-47
607,11368,-46
608,11373,-45
609,11379,-44
610,11383,-43
611,11388,-42
612,11393,-41
613,11399,-40
614,11403,-39
615,11408,-38
616,11413,-37
617,11419,-36
618,11423,-35
619,11428,-34
620,11433,-33
621,11439,-32
622,11443,-31
623,11448,-30
624,11453,-29
625,11458,-28
626,11463,-27
627,11468,-26
628,11473,-25
629,11478,-24
630,11483,-23
631,11488,-22
632,11493,-21
633,11498,-20
634,11503,-19
635,11508,-18
636,11513,-17
637,11518,-16
638,11523,-15
639,11528,-14
640,11533,-13
641,11538,-12
642,11543,-11
643,11548,-10
644,11553,-9
645,11558,-8
646,11563,-7
647,11568,-6
648,11573,-5
649,11578,-4
650,11583,-3
651,11588,-2
652,11594,-1
653,11599,0
654,11604,1
655,11609,2
656,11614,3
657,11620,4
658,11625,5
659,11630,6
660,11635,7
661,11641,8
662,11646,9
663,11651,10
664,11657,11
665,11662,12
666,11667,13
667,11673,14
668,11678,15
669,11684,16
670,11689,17
671,11695,18
672,11700,19
673,11706,20
674,11711,21
675,11717,22
676,11723,23
677,11729,24
678,11734,25
679,11740,26
680,11746,27
681,11752,28
682,11758,29
683,11764,30
684,11770,31
685,11776,32
